,grupo_edad,1,2,Total,Hombres %,Mujeres %
0,0,28,17,45,62.22222222222222,37.77777777777778
1,40-45,82,66,148,55.4054054054054,44.5945945945946
2,46-50,93,83,176,52.84090909090909,47.159090909090914
3,51-55,108,71,179,60.33519553072626,39.66480446927375
4,56-60,105,100,205,51.21951219512195,48.78048780487805
5,61-65,99,116,215,46.04651162790698,53.95348837209303
6,66-70,129,111,240,53.75,46.25
